"User_Action","Type","Request ","Time_Taken(msec)","Size"
"landingpage","Time","landingpage_https://qa-ma.perf.infaqa.com/identity-service/configInfo","305.4","323"
"showProductsPage","Time","showProductsPage_https://dqprofile-qa-pod1.perf.infaqa.com/profiling-ui/locales/shellglue/en/translation.json","733.5","0"
"showProductsPage","Time","showProductsPage_https://dqprofile-qa-pod1.perf.infaqa.com/profiling-ui/locales/shellglue/en/translation.json","412.0","0"
"showProductsPage","Time","showProductsPage_https://qa-pod1.perf.infaqa.com/cloudshell/api/v1/UserProductsInfo","382.9","4965"
"Administrator","Time","Administrator_https://icsdownloadsecure.informatica.com/ICS/Florence/CloudTrial/QA-perf/css/styles.css","1203.4","0"
"Administrator","Time","Administrator_https://icsdownloadsecure.informatica.com/ICS/Florence/CloudTrial/QA-perf/js/trialLauncher.js","1197.1","0"
"Administrator","Time","Administrator_https://qa-pod1-ing.perf.infaqa.com/ingestion/assets.bundle.js","550.1","0"
"logout","Time","logout_https://qa-ma.perf.infaqa.com/identity-service/configInfo","316.1","323"
